TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;SettlementDeadline;T+x
41;2024-03-02 01:45:59;298327659.83;23;7;11;7;455;2024-03-04;2
42;2024-03-02 01:47:15;84680004.15;30;5;18;5;3253;2024-03-04;2
43;2024-03-02 01:47:25;25987204.1;20;6;14;6;5249;2024-03-04;2
44;2024-03-02 01:47:50;183099949.89;26;0;21;0;3779;2024-03-04;2
45;2024-03-02 01:48:06;59380252.31;28;0;22;0;6045;2024-03-04;2
46;2024-03-02 01:49:23;160189296.79;19;4;8;4;7136;2024-03-03;1
47;2024-03-02 01:49:38;278791875.41;22;0;3;0;263;2024-03-04;2
48;2024-03-02 01:49:45;132879010.04;27;6;20;6;2928;2024-03-04;2
49;2024-03-02 01:51:20;97013628.89;22;2;2;2;2574;2024-03-04;2
50;2024-03-02 01:52:30;87662648.75;1;4;11;4;6444;2024-03-04;2
51;2024-03-02 01:53:04;51501339.4;13;1;8;1;4008;2024-03-04;2
52;2024-03-02 01:53:21;12911447.04;13;4;25;4;1818;2024-03-04;2
53;2024-03-02 01:53:25;92263613.74;21;2;14;2;770;2024-03-04;2
54;2024-03-02 01:53:31;223578209.78;9;0;17;0;7064;2024-03-04;2
55;2024-03-02 01:53:49;41669761.06;30;6;25;6;757;2024-03-04;2
56;2024-03-02 01:54:20;241488255.87;19;0;9;0;3800;2024-03-04;2
57;2024-03-02 01:54:58;85794732.64;25;0;2;0;595;2024-03-03;1
58;2024-03-02 01:55:12;47590794.15;15;2;18;2;6939;2024-03-04;2
59;2024-03-02 01:55:18;320385202.48;4;4;13;4;6836;2024-03-04;2
60;2024-03-02 01:55:33;109638859.23;20;3;4;3;3190;2024-03-04;2
61;2024-03-02 01:56:22;84476042.64;8;5;3;5;5162;2024-03-04;2
62;2024-03-02 01:56:38;470149959.19;8;2;24;2;2835;2024-03-04;2
63;2024-03-02 01:56:44;49845861.1;19;1;25;1;6409;2024-03-03;1
64;2024-03-02 01:57:23;34052733.8;23;4;16;4;7418;2024-03-04;2
65;2024-03-02 01:58:13;44708763.66;13;5;25;5;531;2024-03-04;2
66;2024-03-02 01:58:17;69428639.52;8;0;24;0;4976;2024-03-04;2
67;2024-03-02 01:58:23;69209307.86;18;0;14;0;3636;2024-03-04;2
68;2024-03-02 01:58:31;149418085.14;20;0;22;0;5610;2024-03-04;2
69;2024-03-02 01:58:52;76634606.46;21;3;17;3;6137;2024-03-04;2
70;2024-03-02 01:59:58;44809181.1;20;6;8;6;1090;2024-03-04;2
71;2024-03-02 02:00:46;222708602.83;2;6;7;6;5297;2024-03-04;2
72;2024-03-02 02:01:17;20642531.72;30;0;21;0;280;2024-03-04;2
73;2024-03-02 02:03:24;51568726.84;24;5;25;5;6798;2024-03-03;1
74;2024-03-02 02:04:08;74733210.33;29;7;16;7;6877;2024-03-04;2
75;2024-03-02 02:04:28;54956513.35;26;2;16;2;2124;2024-03-04;2
76;2024-03-02 02:04:42;110659690.78;12;0;27;0;3894;2024-03-04;2
77;2024-03-02 02:05:14;190048989.9;12;0;5;0;7297;2024-03-04;2
78;2024-03-02 02:05:46;39824202.56;26;0;2;0;2072;2024-03-04;2
79;2024-03-02 02:06:14;149324022.6;21;2;7;2;3843;2024-03-03;1
80;2024-03-02 02:07:03;94753492.35;10;0;5;0;3828;2024-03-04;2
81;2024-03-02 02:07:04;145151453.27;12;0;7;0;2299;2024-03-04;2
82;2024-03-02 02:07:28;107460997.8;18;3;1;3;1984;2024-03-04;2
83;2024-03-02 02:07:45;109143035.62;16;2;9;2;6944;2024-03-04;2
84;2024-03-02 02:07:51;179186275.95;12;5;15;5;5111;2024-03-04;2
85;2024-03-02 02:08:14;266633583.8;13;2;28;2;275;2024-03-04;2
86;2024-03-02 02:08:58;65529375.78;17;0;9;0;354;2024-03-04;2
87;2024-03-02 02:09:30;105621737.08;2;1;12;1;5457;2024-03-04;2
88;2024-03-02 02:10:37;360551347.31;20;7;17;7;1487;2024-03-04;2
89;2024-03-02 02:11:10;283868943.19;26;5;29;5;3266;2024-03-04;2
90;2024-03-02 02:11:58;158718010.28;11;0;1;0;3118;2024-03-04;2
91;2024-03-02 02:12:09;144733827.4;6;6;9;6;7294;2024-03-04;2
92;2024-03-02 02:13:01;124853966.67;9;0;21;0;5613;2024-03-04;2
93;2024-03-02 02:13:28;207414329.62;2;0;22;0;397;2024-03-03;1
94;2024-03-02 02:14:15;22521116.78;11;0;29;0;2246;2024-03-03;1
95;2024-03-02 02:14:32;89222263.37;8;8;15;8;3220;2024-03-04;2
96;2024-03-02 02:15:04;183366550.43;9;0;21;0;4112;2024-03-04;2
97;2024-03-02 02:15:27;114774616.02;14;2;2;2;7412;2024-03-04;2
98;2024-03-02 02:15:47;105650356.17;2;5;27;5;3530;2024-03-04;2
99;2024-03-02 02:16:51;116166012.23;12;6;26;6;7007;2024-03-04;2
100;2024-03-02 02:18:35;138035287.29;7;4;24;4;5146;2024-03-04;2
101;2024-03-02 02:19:22;231665422.58;9;0;4;0;1531;2024-03-04;2
102;2024-03-02 02:19:23;172125100.01;11;0;28;0;4415;2024-03-04;2
103;2024-03-02 02:19:35;43769164.92;6;0;13;0;7335;2024-03-04;2
104;2024-03-02 02:20:40;62669204.53;6;8;8;8;154;2024-03-04;2
105;2024-03-02 02:20:42;308427996.12;10;4;13;4;2798;2024-03-04;2
106;2024-03-02 02:22:12;92428637.12;23;0;20;0;3981;2024-03-04;2
107;2024-03-02 02:23:48;179223856.02;8;5;11;5;5964;2024-03-03;1
108;2024-03-02 02:23:51;82522627.89;22;1;8;1;1163;2024-03-04;2
109;2024-03-02 02:24:04;232955668.97;4;3;7;3;4137;2024-03-04;2
110;2024-03-02 02:25:07;96424221.2;2;0;30;0;6093;2024-03-04;2
111;2024-03-02 02:25:17;23672679.68;1;7;3;7;6052;2024-03-04;2
112;2024-03-02 02:26:55;62731278.3;12;5;18;5;3952;2024-03-04;2
113;2024-03-02 02:28:04;7998858.95;4;0;7;0;2344;2024-03-04;2
114;2024-03-02 02:29:37;68683394.14;3;0;22;0;7166;2024-03-04;2
115;2024-03-02 02:30:00;63679390.2;3;6;26;6;1164;2024-03-04;2
116;2024-03-02 02:30:45;75798395.86;25;0;30;0;6424;2024-03-03;1
117;2024-03-02 02:31:24;71774002.4;22;0;5;0;3223;2024-03-03;1
118;2024-03-02 02:31:55;97938333.21;17;7;10;7;1933;2024-03-04;2
119;2024-03-02 02:32:25;131137179.82;4;0;8;0;3234;2024-03-04;2
120;2024-03-02 02:32:46;84112051.73;11;1;16;1;2689;2024-03-04;2
121;2024-03-02 02:32:50;187255769.23;19;0;3;0;3546;2024-03-04;2
122;2024-03-02 02:33:01;12604242.23;15;3;14;3;522;2024-03-03;1
123;2024-03-02 02:33:16;113207644.76;25;8;19;8;4542;2024-03-04;2
124;2024-03-02 02:34:14;424175164.56;19;0;16;0;3863;2024-03-03;1
125;2024-03-02 02:35:56;68781548.19;8;7;6;7;940;2024-03-04;2
126;2024-03-02 02:36:05;74665510.15;16;0;25;0;2485;2024-03-04;2
127;2024-03-02 02:36:16;33313316.03;24;8;8;8;4427;2024-03-04;2
128;2024-03-02 02:36:28;78719807.2;26;3;4;3;4237;2024-03-04;2
129;2024-03-02 02:36:41;6671053.86;6;0;21;0;1389;2024-03-04;2
130;2024-03-02 02:36:45;13469759.73;21;3;4;3;5231;2024-03-03;1
131;2024-03-02 02:37:06;172796891.03;11;0;16;0;6470;2024-03-03;1
132;2024-03-02 02:37:11;77519134.92;27;4;15;4;2986;2024-03-04;2
133;2024-03-02 02:37:15;288084397.5;24;0;8;0;4410;2024-03-04;2
134;2024-03-02 02:38:47;231665422.58;4;5;9;5;1531;2024-03-04;2
135;2024-03-02 02:39:05;12911447.04;25;0;13;0;1818;2024-03-04;2
136;2024-03-02 02:39:43;73874867.94;22;7;14;7;5492;2024-03-03;1
137;2024-03-02 02:39:54;95325046.31;3;2;8;2;647;2024-03-04;2
138;2024-03-02 02:40:05;44937526.55;22;0;15;0;7362;2024-03-04;2
139;2024-03-02 02:41:03;113129168.98;27;0;22;0;2845;2024-03-04;2
140;2024-03-02 02:41:05;178345162.91;7;0;23;0;3378;2024-03-04;2
141;2024-03-02 02:41:08;25902168.07;4;3;8;3;3473;2024-03-04;2
142;2024-03-02 02:41:24;198191834.25;22;4;21;4;4716;2024-03-04;2
143;2024-03-02 02:41:54;129058331.63;4;0;28;0;6714;2024-03-04;2
144;2024-03-02 02:41:57;58417654.43;4;0;13;0;4632;2024-03-04;2
145;2024-03-02 02:42:03;69428639.52;24;2;8;2;4976;2024-03-04;2
146;2024-03-02 02:42:32;75798395.86;30;5;25;5;6424;2024-03-03;1
147;2024-03-02 02:42:58;127615531.33;3;2;7;2;3445;2024-03-04;2
148;2024-03-02 02:43:08;66338303.64;9;0;18;0;3331;2024-03-04;2
149;2024-03-02 02:43:23;374828493.92;30;0;4;0;3640;2024-03-04;2
150;2024-03-02 02:45:07;33565526.04;19;2;16;2;2321;2024-03-04;2
151;2024-03-02 02:45:23;47189336.7;23;1;6;1;6859;2024-03-04;2
152;2024-03-02 02:45:37;108214476.62;26;8;14;8;6873;2024-03-03;1
153;2024-03-02 02:45:39;136543169.96;26;3;27;3;7020;2024-03-04;2
154;2024-03-02 02:46:29;63034815.71;2;0;1;0;4264;2024-03-04;2
155;2024-03-02 02:46:57;142768186.66;11;0;18;0;5650;2024-03-04;2
156;2024-03-02 02:47:46;214396659.02;13;0;22;0;7479;2024-03-04;2
157;2024-03-02 02:48:08;41575011.78;7;0;1;0;2604;2024-03-04;2
158;2024-03-02 02:48:11;63985122.45;14;0;26;0;2889;2024-03-04;2
159;2024-03-02 02:48:33;28196383.86;21;0;9;0;1191;2024-03-03;1
160;2024-03-02 02:48:48;113539364.08;23;0;4;0;3090;2024-03-04;2
161;2024-03-02 02:49:42;105621737.08;12;0;2;0;5457;2024-03-04;2
162;2024-03-02 02:49:51;86027901.58;29;8;9;8;984;2024-03-04;2
163;2024-03-02 02:50:09;83524935.9;3;5;21;5;655;2024-03-03;1
164;2024-03-02 02:51:02;69085741.77;7;5;30;5;3319;2024-03-04;2
165;2024-03-02 02:51:26;327682632.02;7;1;30;1;1772;2024-03-04;2
166;2024-03-02 02:51:44;9574443.55;3;0;22;0;1265;2024-03-04;2
167;2024-03-02 02:51:47;136264284.14;19;6;5;6;3257;2024-03-04;2
168;2024-03-02 02:52:06;290678312.75;2;8;29;8;787;2024-03-04;2
169;2024-03-02 02:52:08;31950514.4;10;0;26;0;4379;2024-03-03;1
170;2024-03-02 02:52:16;462189393.44;20;2;19;2;1942;2024-03-04;2
171;2024-03-02 02:52:28;196972036.6;20;0;19;0;5277;2024-03-04;2
172;2024-03-02 02:52:32;8349595.04;4;0;24;0;107;2024-03-03;1
173;2024-03-02 02:53:23;32448523.04;30;0;23;0;3880;2024-03-04;2
174;2024-03-02 02:53:58;73608815.35;23;0;20;0;2059;2024-03-03;1
175;2024-03-02 02:54:57;37112569.26;30;0;13;0;1409;2024-03-04;2
176;2024-03-02 02:56:41;115352029.2;18;0;1;0;3602;2024-03-04;2
177;2024-03-02 02:57:30;87129702.12;16;0;25;0;1370;2024-03-04;2
178;2024-03-02 02:57:43;148020161.38;11;7;3;7;7369;2024-03-04;2
179;2024-03-02 02:58:12;81417834.61;25;0;28;0;959;2024-03-04;2
180;2024-03-02 02:58:26;295202916.87;19;1;10;1;3921;2024-03-04;2
181;2024-03-02 02:58:38;216869689.81;22;3;28;3;5279;2024-03-03;1
182;2024-03-02 02:59:47;164046421.93;17;0;13;0;43;2024-03-04;2
183;2024-03-02 03:01:09;56240894.58;10;0;25;0;83;2024-03-04;2
184;2024-03-02 03:02:16;52571530.2;11;0;23;0;7427;2024-03-03;1
185;2024-03-02 03:02:27;356453849.96;17;0;16;0;143;2024-03-04;2
186;2024-03-02 03:02:57;53264858.74;6;0;4;0;5411;2024-03-04;2
187;2024-03-02 03:03:03;104140594.7;7;5;23;5;5844;2024-03-03;1
188;2024-03-02 03:03:12;37619452.29;25;7;26;7;3620;2024-03-04;2
189;2024-03-02 03:03:31;71726315.87;22;8;25;8;4301;2024-03-04;2
190;2024-03-02 03:03:33;144733827.4;9;0;6;0;7294;2024-03-04;2
191;2024-03-02 03:03:49;15228691.46;5;5;12;5;379;2024-03-04;2
192;2024-03-02 03:04:03;43240192.12;16;0;30;0;2768;2024-03-03;1
193;2024-03-02 03:04:19;105741939.23;15;6;30;6;2848;2024-03-04;2
194;2024-03-02 03:04:56;234701925.58;28;0;20;0;2019;2024-03-04;2
195;2024-03-02 03:05:39;38777512.42;18;0;26;0;1978;2024-03-04;2
196;2024-03-02 03:05:46;129343889.21;13;5;15;5;3600;2024-03-04;2
197;2024-03-02 03:06:11;17798173.97;4;2;8;2;6980;2024-03-04;2
198;2024-03-02 03:06:53;10635796.2;8;0;4;0;2870;2024-03-04;2
199;2024-03-02 03:07:26;75256421.19;17;2;3;2;5032;2024-03-04;2
200;2024-03-02 03:07:32;171491745.73;15;0;1;0;2931;2024-03-04;2
201;2024-03-02 03:07:45;237131950.69;22;0;4;0;3584;2024-03-04;2
202;2024-03-02 03:07:54;183619464.53;20;0;30;0;240;2024-03-04;2
203;2024-03-02 03:08:05;53888355.82;11;8;12;8;5422;2024-03-04;2
204;2024-03-02 03:08:39;145411401.5;18;7;27;7;6884;2024-03-03;1
205;2024-03-02 03:08:52;234695299.52;17;0;28;0;3724;2024-03-04;2
206;2024-03-02 03:09:04;10493595.92;1;2;14;2;7337;2024-03-04;2
207;2024-03-02 03:10:20;261209625.79;5;0;16;0;849;2024-03-03;1
208;2024-03-02 03:10:21;79145048.21;20;0;9;0;6518;2024-03-03;1
209;2024-03-02 03:11:11;150757344.56;7;7;9;7;2174;2024-03-03;1
210;2024-03-02 03:11:32;75941954.86;27;4;20;4;6413;2024-03-04;2
211;2024-03-02 03:12:21;151844522.6;16;4;20;4;980;2024-03-04;2
212;2024-03-02 03:13:01;153848059.73;18;8;3;8;1205;2024-03-04;2
213;2024-03-02 03:13:11;178330947.8;24;2;12;2;4220;2024-03-04;2
214;2024-03-02 03:13:34;51787331.96;22;3;25;3;4727;2024-03-04;2
215;2024-03-02 03:13:40;42275765.15;20;0;30;0;3427;2024-03-04;2
216;2024-03-02 03:14:49;44746097.75;3;0;28;0;2394;2024-03-04;2
217;2024-03-02 03:14:54;111700789.91;24;8;14;8;4354;2024-03-04;2
218;2024-03-02 03:15:34;91190914.14;15;0;29;0;6283;2024-03-04;2
219;2024-03-02 03:16:32;155050617.52;23;3;13;3;5619;2024-03-04;2
220;2024-03-02 03:16:55;81759905.99;29;6;16;6;2318;2024-03-04;2
221;2024-03-02 03:17:16;41706573.89;4;4;8;4;1219;2024-03-04;2
222;2024-03-02 03:17:38;48647924.59;23;8;30;8;4394;2024-03-04;2
223;2024-03-02 03:17:57;427301054.29;24;0;15;0;2153;2024-03-04;2
224;2024-03-02 03:19:16;110312879.1;29;2;26;2;2504;2024-03-04;2
225;2024-03-02 03:19:20;156399454.43;14;8;5;8;2578;2024-03-03;1
226;2024-03-02 03:20:33;17606229.24;25;2;1;2;2959;2024-03-04;2
227;2024-03-02 03:20:41;196827548.27;29;0;9;0;6949;2024-03-04;2
228;2024-03-02 03:20:47;117207919.71;12;0;4;0;7468;2024-03-04;2
229;2024-03-02 03:21:40;222126583.8;8;5;19;5;4505;2024-03-04;2
230;2024-03-02 03:22:42;107510902.41;18;0;17;0;7220;2024-03-04;2
231;2024-03-02 03:23:13;292227765.01;11;7;17;7;7053;2024-03-04;2
232;2024-03-02 03:24:46;48647924.59;30;0;23;0;4394;2024-03-04;2
233;2024-03-02 03:25:18;328587796.41;20;6;17;6;2968;2024-03-04;2
234;2024-03-02 03:25:39;411098478.21;13;0;26;0;6534;2024-03-03;1
235;2024-03-02 03:25:59;44426390.23;7;0;6;0;6088;2024-03-04;2
236;2024-03-02 03:26:02;179880828.67;29;5;17;5;624;2024-03-04;2
237;2024-03-02 03:26:11;165923659.79;14;2;1;2;1747;2024-03-04;2
238;2024-03-02 03:26:25;180711494.26;16;2;30;2;3549;2024-03-04;2
239;2024-03-02 03:26:33;93060236.05;30;1;9;1;5691;2024-03-04;2
240;2024-03-02 03:27:36;17444175.93;6;5;7;5;3806;2024-03-04;2
241;2024-03-02 03:28:04;62708370.1;14;0;21;0;2170;2024-03-04;2
242;2024-03-02 03:29:02;173924572.0;29;0;19;0;1504;2024-03-04;2
243;2024-03-02 03:29:09;301702549.55;6;6;9;6;7110;2024-03-04;2
244;2024-03-02 03:29:28;20642531.72;21;7;30;7;280;2024-03-04;2
245;2024-03-02 03:31:04;146571041.89;18;0;26;0;3847;2024-03-04;2
246;2024-03-02 03:31:27;108568512.04;23;0;8;0;2088;2024-03-04;2
247;2024-03-02 03:31:59;45953646.08;14;0;6;0;6613;2024-03-04;2
248;2024-03-02 03:32:39;224539629.29;7;0;2;0;7253;2024-03-04;2
249;2024-03-02 03:33:58;37579719.73;9;7;16;7;5002;2024-03-04;2
250;2024-03-02 03:34:10;126111108.5;12;5;17;5;555;2024-03-04;2
251;2024-03-02 03:34:11;141737900.24;4;1;21;1;474;2024-03-04;2
252;2024-03-02 03:34:36;73060802.26;21;2;14;2;7202;2024-03-04;2
253;2024-03-02 03:36:25;183244091.7;1;0;14;0;4889;2024-03-03;1
254;2024-03-02 03:37:21;183563803.18;15;0;25;0;1788;2024-03-04;2
255;2024-03-02 03:37:58;110256314.8;19;8;8;8;3572;2024-03-04;2
256;2024-03-02 03:39:10;79188655.15;25;0;1;0;7044;2024-03-04;2
257;2024-03-02 03:40:19;224539629.29;2;2;7;2;7253;2024-03-04;2
258;2024-03-02 03:41:34;277627113.76;19;7;11;7;1356;2024-03-04;2
259;2024-03-02 03:41:51;342347527.04;30;0;12;0;3066;2024-03-03;1
260;2024-03-02 03:42:06;246204398.73;2;7;12;7;5011;2024-03-04;2
261;2024-03-02 03:43:14;84079132.75;6;6;19;6;496;2024-03-04;2
262;2024-03-02 03:43:24;56573377.31;7;8;1;8;1737;2024-03-04;2
263;2024-03-02 03:43:36;131518131.38;26;7;7;7;5189;2024-03-04;2
264;2024-03-02 03:44:06;138679868.27;27;0;13;0;2466;2024-03-04;2
265;2024-03-02 03:45:49;225585081.48;4;1;7;1;4019;2024-03-04;2
266;2024-03-02 03:46:42;54956513.35;16;0;26;0;2124;2024-03-04;2
267;2024-03-02 03:46:50;126782786.17;9;6;19;6;3447;2024-03-04;2
268;2024-03-02 03:46:54;106741956.23;24;0;8;0;807;2024-03-04;2
269;2024-03-02 03:47:53;103786971.92;10;0;17;0;3860;2024-03-03;1
270;2024-03-02 03:49:07;54175431.66;25;0;2;0;5676;2024-03-04;2
271;2024-03-02 03:50:34;172883621.04;12;0;4;0;4987;2024-03-03;1
272;2024-03-02 03:52:15;157789748.32;11;7;9;7;5049;2024-03-04;2
273;2024-03-02 03:52:35;11516183.64;22;4;25;4;1883;2024-03-04;2
274;2024-03-02 03:53:12;115824108.63;20;0;2;0;5622;2024-03-04;2
275;2024-03-02 03:53:28;122716109.15;3;0;23;0;4718;2024-03-04;2
276;2024-03-02 03:54:20;237875731.55;30;0;23;0;1076;2024-03-04;2
277;2024-03-02 03:54:34;159236874.19;5;5;30;5;6962;2024-03-04;2
278;2024-03-02 03:55:32;63679390.2;26;0;3;0;1164;2024-03-04;2
279;2024-03-02 03:56:29;132910966.59;1;0;2;0;7368;2024-03-03;1
280;2024-03-02 03:57:07;455589754.47;22;3;19;3;4673;2024-03-04;2
281;2024-03-02 03:58:36;90119112.22;8;0;9;0;2205;2024-03-04;2
282;2024-03-02 03:59:09;232474815.16;22;0;21;0;1158;2024-03-04;2
283;2024-03-02 03:59:36;67899900.54;5;2;10;2;6342;2024-03-04;2
284;2024-03-02 03:59:56;42275765.15;30;2;20;2;3427;2024-03-04;2
285;2024-03-02 03:59:58;10635796.2;4;8;8;8;2870;2024-03-04;2
286;2024-03-02 04:00:44;203661235.51;19;7;5;7;70;2024-03-04;2
287;2024-03-02 04:01:21;88259938.77;20;2;14;2;5659;2024-03-04;2
288;2024-03-02 04:01:39;363340301.9;1;4;22;4;4744;2024-03-04;2
289;2024-03-02 04:02:28;61240580.31;7;2;2;2;4614;2024-03-04;2
290;2024-03-02 04:02:59;151844522.6;20;0;16;0;980;2024-03-04;2
291;2024-03-02 04:03:33;42091180.82;6;4;29;4;5223;2024-03-03;1
292;2024-03-02 04:04:23;203966371.09;30;0;19;0;5181;2024-03-04;2
293;2024-03-02 04:04:50;455422870.23;11;3;24;3;3278;2024-03-04;2
294;2024-03-02 04:05:14;51268472.4;6;0;16;0;225;2024-03-04;2
295;2024-03-02 04:08:03;73294467.8;14;3;18;3;6084;2024-03-04;2
296;2024-03-02 04:08:29;36946866.75;10;6;3;6;1326;2024-03-04;2
297;2024-03-02 04:09:03;98024396.27;11;8;23;8;3945;2024-03-04;2
298;2024-03-02 04:10:11;127396615.39;8;0;12;0;4847;2024-03-04;2
299;2024-03-02 04:10:29;304741553.52;26;7;13;7;1698;2024-03-04;2
300;2024-03-02 04:10:34;198191834.25;21;0;22;0;4716;2024-03-04;2
301;2024-03-02 04:10:40;43315803.68;4;1;29;1;1922;2024-03-04;2
302;2024-03-02 04:11:41;75844069.41;19;1;9;1;3149;2024-03-03;1
303;2024-03-02 04:12:19;18087564.55;4;0;26;0;6961;2024-03-04;2
304;2024-03-02 04:12:37;95810763.27;10;8;26;8;2699;2024-03-04;2
305;2024-03-02 04:14:12;137789476.55;18;7;15;7;2665;2024-03-04;2
306;2024-03-02 04:14:49;48541654.76;9;7;6;7;641;2024-03-04;2
307;2024-03-02 04:14:58;9389661.1;1;3;4;3;1110;2024-03-04;2
308;2024-03-02 04:15:00;154911686.08;12;2;7;2;5065;2024-03-04;2
309;2024-03-02 04:16:28;200543727.14;13;0;2;0;4736;2024-03-03;1
310;2024-03-02 04:17:29;118858675.84;5;8;19;8;7274;2024-03-04;2
311;2024-03-02 04:18:24;125437446.74;27;7;24;7;6978;2024-03-04;2
312;2024-03-02 04:22:57;86021476.0;10;2;17;2;5825;2024-03-04;2
313;2024-03-02 04:23:14;152671425.08;13;5;27;5;1419;2024-03-04;2
314;2024-03-02 04:23:21;54801584.88;23;2;15;2;1513;2024-03-03;1
315;2024-03-02 04:23:23;82040845.61;28;7;4;7;7252;2024-03-04;2
316;2024-03-02 04:23:54;56093092.39;11;6;25;6;1546;2024-03-04;2
317;2024-03-02 04:23:55;54045642.2;26;0;27;0;4107;2024-03-04;2
318;2024-03-02 04:23:58;106876207.3;1;0;26;0;2847;2024-03-04;2
319;2024-03-02 04:25:27;32357583.84;3;8;20;8;3979;2024-03-04;2
320;2024-03-02 04:25:30;86996514.72;29;3;25;3;3434;2024-03-04;2
321;2024-03-02 04:26:27;24024358.47;16;0;19;0;410;2024-03-04;2
322;2024-03-02 04:26:48;32357583.84;20;0;3;0;3979;2024-03-04;2
323;2024-03-02 04:27:06;100827915.35;1;6;14;6;3518;2024-03-04;2
324;2024-03-02 04:27:37;185995407.67;5;2;12;2;3330;2024-03-04;2
325;2024-03-02 04:28:07;9973358.55;28;1;6;1;3756;2024-03-04;2
326;2024-03-02 04:29:56;201233034.11;11;0;7;0;7266;2024-03-04;2
327;2024-03-02 04:30:38;41841537.43;24;3;23;3;6678;2024-03-04;2
328;2024-03-02 04:30:54;119268049.24;29;3;26;3;4104;2024-03-04;2
329;2024-03-02 04:31:08;136476405.82;21;5;26;5;3440;2024-03-04;2
330;2024-03-02 04:31:50;156034738.04;28;0;1;0;6838;2024-03-03;1
331;2024-03-02 04:31:51;91833913.76;23;0;3;0;5574;2024-03-03;1
332;2024-03-02 04:32:06;176552889.5;29;1;15;1;2251;2024-03-04;2
333;2024-03-02 04:32:10;134223674.0;23;5;26;5;3488;2024-03-04;2
334;2024-03-02 04:32:21;339569354.44;1;2;28;2;5336;2024-03-04;2
335;2024-03-02 04:32:29;41575011.78;1;5;7;5;2604;2024-03-04;2
336;2024-03-02 04:34:29;353545923.73;28;0;19;0;6480;2024-03-03;1
337;2024-03-02 04:35:35;47449052.62;11;7;13;7;3068;2024-03-04;2
338;2024-03-02 04:37:23;208068123.04;25;5;11;5;4162;2024-03-04;2
339;2024-03-02 04:37:34;64729595.9;6;1;7;1;3706;2024-03-04;2
